title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Rep,Robert,B.,Aderholt,,,R,AL,4,1,M,202-225-4876,202-225-5587,https://aderholt.house.gov,,235 Cannon House Office Building,A000055,441,H6AL04098,400004,N00003028,Robert_Aderholt,http://www.opencongress.org/wiki/Robert_Aderholt,http://youtube.com/RobertAderholt,RobertAderholt,,,1965-07-22,Rep.Aderholt@opencongress.org
Sen,Lamar,,Alexander,,,R,TN,Senior Seat,1,M,202-224-4944,202-228-3398,https://www.alexander.senate.gov/public,http://www.alexander.senate.gov/public/index.cfm?p=Email,455 Dirksen Senate Office Building,A000360,15691,S2TN00058,300002,N00009888,SenAlexander,http://www.opencongress.org/wiki/Lamar_Alexander,http://youtube.com/lamaralexander,senatorlamaralexander,,II,1940-07-03,Sen.Alexander@opencongress.org
Rep,Mark,E.,Amodei,,,R,NV,2,1,M,202-225-6155,202-225-5679,https://amodei.house.gov,,332 Cannon House Office Building,A000369,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,http://youtube.com/markamodeinv2,MarkAmodeiNV2,,,1958-06-12,Rep.Amodei@opencongress.org
Rep,Joe,Linus,Barton,,,R,TX,6,1,M,202-225-2002,202-225-3052,https://joebarton.house.gov,,2107 Rayburn House Office Building,B000213,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,http://youtube.com/repjoebarton,RepJoeBarton,,,1949-09-15,Rep.Joebarton@opencongress.org
Rep,Xavier,,Becerra,,,D,CA,34,0,M,202-225-6235,,https://becerra.house.gov,,1226 Longworth House Office Building,B000287,26754,H2CA30143,400021,N00009774,RepBecerra,http://www.opencongress.org/wiki/Xavier_Becerra,http://youtube.com/XavierBecerra,90311772229,,,1958-01-26,
Rep,Sanford,D.,Bishop,Jr.,,D,GA,2,1,M,202-225-3631,202-225-2203,https://bishop.house.gov,,2407 Rayburn House Office Building,B000490,26817,H2GA02031,400030,N00002674,SanfordBishop,http://www.opencongress.org/wiki/Sanford_Bishop,http://youtube.com/RepSanfordBishop,sanfordbishop,,,1947-02-04,Rep.Bishop@opencongress.org
Rep,Earl,,Blumenauer,,,D,OR,3,1,M,202-225-4811,202-225-8941,https://blumenauer.house.gov,,1111 Longworth House Office Building,B000574,367,H6OR03064,400033,N00007727,BlumenauerMedia,http://www.opencongress.org/wiki/Earl_Blumenauer,http://youtube.com/RepBlumenauer,,,,1948-08-16,Rep.Blumenauer@opencongress.org
Sen,Roy,,Blunt,,,R,MO,Junior Seat,1,M,202-224-5721,202-224-8149,https://www.blunt.senate.gov/public,https://www.blunt.senate.gov/public/index.cfm/contact-roy,260 Russell Senate Office Building,B000575,418,H6MO07128,400034,N00005195,RoyBlunt,http://www.opencongress.org/wiki/Roy_Blunt,http://youtube.com/SenatorBlunt,SenatorBlunt,,III,1950-01-10,Sen.Blunt@opencongress.org
Rep,Kevin,P.,Brady,,,R,TX,8,1,M,202-225-4901,202-225-5524,https://kevinbrady.house.gov,,1011 Longworth House Office Building,B000755,361,H6TX08100,400046,N00005883,RepKevinBrady,http://www.opencongress.org/wiki/Kevin_Brady,http://youtube.com/KBrady8,kevinbrady,,,1955-04-11,Rep.Kevinbrady@opencongress.org
Sen,Sherrod,,Brown,,,D,OH,Senior Seat,1,M,202-224-2315,202-228-6321,https://www.brown.senate.gov,http://www.brown.senate.gov/contact/,713 Hart Senate Office Building,B000944,27018,H2OH13033,400050,N00003535,SenSherrodBrown,http://www.opencongress.org/wiki/Sherrod_Brown,http://youtube.com/SherrodBrownOhio,SenatorSherrodBrown,,I,1952-11-09,Sen.Brown@opencongress.org
Sen,Richard,M.,Burr,,,R,NC,Senior Seat,1,M,202-224-3154,202-228-2981,https://www.burr.senate.gov,https://www.burr.senate.gov/contact/email,217 Russell Senate Office Building,B001135,21787,S4NC00089,400054,N00002221,SenatorBurr,http://www.opencongress.org/wiki/Richard_Burr,http://youtube.com/SenatorRichardBurr,SenatorRichardBurr,,III,1955-11-30,Sen.Burr@opencongress.org
Rep,Robert,Alan,Brady,,,D,PA,1,1,M,202-225-4731,202-225-0088,https://brady.house.gov,,2004 Rayburn House Office Building,B001227,2519,H8PA01153,400047,N00001619,RepBrady,http://www.opencongress.org/wiki/Robert_Brady,http://youtube.com/BradyPA01,RepRobertBrady,,,1945-04-07,Rep.Brady@opencongress.org
Sen,Tammy,,Baldwin,,,D,WI,Junior Seat,1,F,202-224-5653,202-225-6942,https://www.baldwin.senate.gov,https://www.baldwin.senate.gov/feedback,709 Hart Senate Office Building,B001230,3470,H8WI00018,400013,N00004367,SenatorBaldwin,http://www.opencongress.org/wiki/Tammy_Baldwin,http://youtube.com/witammybaldwin,senatortammybaldwin,,I,1962-02-11,Sen.Baldwin@opencongress.org
Sen,John,,Boozman,,,R,AR,Senior Seat,1,M,202-224-4843,202-228-1371,https://www.boozman.senate.gov/public,https://www.boozman.senate.gov/public/index.cfm/contact,141 Hart Senate Office Building,B001236,27958,H2AR03176,400040,N00013873,JohnBoozman,http://www.opencongress.org/wiki/John_Boozman,http://youtube.com/BoozmanPressOffice,JohnBoozman,,III,1950-12-10,Sen.Boozman@opencongress.org
Rep,Marsha,W.,Blackburn,,,R,TN,7,1,F,202-225-2811,202-225-3004,https://blackburn.house.gov,,2266 Rayburn House Office Building,B001243,25186,H2TN06030,400032,N00003105,MarshaBlackburn,http://www.opencongress.org/wiki/Marsha_Blackburn,http://youtube.com/RepMarshaBlackburn,marshablackburn,,,1952-06-06,Rep.Blackburn@opencongress.org
Rep,Michael,C.,Burgess,,,R,TX,26,1,M,202-225-7772,202-225-2919,https://burgess.house.gov,,2336 Rayburn House Office Building,B001248,50120,H2TX26093,400052,N00025219,MichaelCBurgess,http://www.opencongress.org/wiki/Michael_Burgess,http://youtube.com/michaelcburgessmd,michaelcburgess,,,1950-12-23,Rep.Burgess@opencongress.org
Rep,Rob,,Bishop,,,R,UT,1,1,M,202-225-0453,202-225-5857,https://robbishop.house.gov,,123 Cannon House Office Building,B001250,50544,H2UT01094,400029,N00025292,RepRobBishop,http://www.opencongress.org/wiki/Rob_Bishop,http://youtube.com/CongressmanBishop,RepRobBishop,,,1951-07-13,Rep.Robbishop@opencongress.org
Rep,George,Kenneth,Butterfield,Jr.,G.K.,D,NC,1,1,M,202-225-3101,202-225-3354,https://butterfield.house.gov,,2080 Rayburn House Office Building,B001251,41077,H4NC01046,400616,N00027035,GKButterfield,http://www.opencongress.org/wiki/George_Butterfield,http://youtube.com/GKBNC01,congressmangkbutterfield,,,1947-04-27,Rep.Butterfield@opencongress.org
Rep,Gus,M.,Bilirakis,,,R,FL,12,1,M,202-225-5755,202-225-4085,https://bilirakis.house.gov,,2112 Rayburn House Office Building,B001257,17318,H6FL09070,412250,N00027462,RepGusBilirakis,http://www.opencongress.org/wiki/Gus_Michael_Bilirakis,http://youtube.com/RepGusBilirakis,GusBilirakis,,,1963-02-08,Rep.Bilirakis@opencongress.org
Rep,Vern,,Buchanan,,,R,FL,16,1,M,202-225-5015,202-226-0828,https://buchanan.house.gov,,2104 Rayburn House Office Building,B001260,66247,H6FL13148,412196,N00027626,VernBuchanan,http://www.opencongress.org/wiki/Vern_Buchanan,http://youtube.com/vernbuchanan,CongressmanBuchanan,,,1951-05-08,Rep.Buchanan@opencongress.org
Sen,John,A.,Barrasso,,,R,WY,Junior Seat,1,M,202-224-6441,202-224-1724,https://www.barrasso.senate.gov,https://www.barrasso.senate.gov/public/index.cfm/contact-form,307 Dirksen Senate Office Building,B001261,52662,S6WY00068,412251,N00006236,SenJohnBarrasso,http://www.opencongress.org/wiki/John_Barrasso,http://youtube.com/barrassowyo,johnbarrasso,,I,1952-07-21,Sen.Barrasso@opencongress.org
