title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Rep,Justin,,Amash,,,R,MI,3,1,M,202-225-3831,202-225-5144,https://amash.house.gov,,114 Cannon House Office Building,A000367,105566,H0MI03126,412438,N00031938,,http://www.opencongress.org/wiki/Justin_Amash,http://youtube.com/repjustinamash,repjustinamash,,,1980-04-18,Rep.Amash@opencongress.org
Rep,Pete,,Aguilar,,,D,CA,31,1,M,202-225-3201,202-226-6962,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,70114,H2CA31125,412615,N00033997,reppeteaguilar,,,reppeteaguilar,,,1979-06-19,Rep.Aguilar@opencongress.org
Rep,Dan,,Boren,,,D,OK,2,0,M,202-225-2701,202-225-3038,http://www.house.gov/boren,http://www.house.gov/boren/emailsignup.shtml,2447 Rayburn House Office Building,B001254,46182,H4OK02089,400645,N00026481,,http://www.opencongress.org/wiki/David_Daniel_Boren,,,,,1973-08-02,
Rep,Garland,,Barr,,Andy,R,KY,6,1,M,202-225-4706,,https://barr.house.gov,,1427 Longworth House Office Building,B001282,117290,H0KY06104,412541,N00031233,RepAndyBarr,,http://youtube.com/RepAndyBarr,RepAndyBarr,,,1973-07-24,Rep.Barr@opencongress.org
Rep,Jim,,Bridenstine,,,R,OK,1,1,M,202-225-2211,918-935-2716,https://bridenstine.house.gov,,216 Cannon House Office Building,B001283,135894,H2OK01143,412567,N00033532,RepJBridenstine,,http://youtube.com/RepJimBridenstine,CongressmanJimBridenstine,,,1975-06-15,Rep.Bridenstine@opencongress.org
Rep,Brendan,,Boyle,,,D,PA,13,1,M,202-225-6111,202-226-0611,https://boyle.house.gov,,1133 Longworth House Office Building,B001296,47357,H4PA13199,412652,N00035307,CongBoyle,,,CongressmanBoyle,,,1977-02-06,Rep.Boyle@opencongress.org
Rep,Jim,,Banks,,,R,IN,3,1,M,202-225-4436,,https://banks.house.gov,,509 Cannon House Office Building,B001299,116801,H6IN03229,412702,N00037185,RepJimBanks,,,RepJimBanks,,,1979-07-16,Rep.Banks@opencongress.org
Rep,Nanette,,Barragán,,,D,CA,44,1,F,202-225-8220,,https://barragan.house.gov,,1320 Longworth House Office Building,B001300,166270,H6CA44103,412687,N00037019,RepBarragan,,,CongresswomanBarragan,,,1976-09-15,Rep.Barragan@opencongress.org
Rep,André,,Carson,,,D,IN,7,1,M,202-225-4011,202-225-5633,https://carson.house.gov,,2135 Rayburn House Office Building,C001072,84917,H8IN07184,412258,N00029513,RepAndreCarson,http://www.opencongress.org/wiki/Andre_Carson,http://youtube.com/repandrecarson,CongressmanAndreCarson,,,1974-10-16,Rep.Carson@opencongress.org
Rep,Joaquin,,Castro,,,D,TX,20,1,M,202-225-3236,202-225-1915,https://castro.house.gov,,1221 Longworth House Office Building,C001091,49227,H2TX35011,412576,N00033316,JoaquinCastrotx,,http://youtube.com/JoaquinCastroTX,326420614138023,,,1974-09-16,Rep.Castro@opencongress.org
Sen,Tom,,Cotton,,,R,AR,Junior Seat,1,M,202-224-2353,,https://www.cotton.senate.gov,http://www.cotton.senate.gov/?p=contact,124 Russell Senate Office Building,C001095,135651,H2AR04083,412508,N00033363,SenTomCotton,,http://youtube.com/RepTomCotton,SenatorTomCotton,,II,1977-05-13,Sen.Cotton@opencongress.org
Rep,Ryan,,Costello,,,R,PA,6,1,M,202-225-4315,202-225-8440,https://costello.house.gov,,326 Cannon House Office Building,C001106,133557,H0PA06076,412651,N00031064,RepRyanCostello,,,CongressmanRyanCostello,,,1976-09-07,Rep.Costello@opencongress.org
Rep,Carlos,,Curbelo,,,R,FL,26,1,M,202-225-2778,,https://curbelo.house.gov,,1404 Longworth House Office Building,C001107,137676,H4FL26038,412621,N00035403,RepCurbelo,,,repcurbelo,,,1980-03-01,Rep.Curbelo@opencongress.org
Rep,Ron,,DeSantis,,,R,FL,6,1,M,202-225-2706,202-226-6299,https://desantis.house.gov,,1524 Longworth House Office Building,D000621,137630,H2FL00292,412526,N00034746,RepDeSantis,,http://youtube.com/RepRonDeSantis,RepDeSantis,,,1978-09-14,Rep.Desantis@opencongress.org
Rep,Brian,,Fitzpatrick,,,R,PA,8,1,M,202-225-4276,,https://fitzpatrick.house.gov,,514 Cannon House Office Building,F000466,167708,H6PA08277,412721,N00038779,repbrianfitz,,,repbrianfitzpatrick,,,1973-12-17,Rep.Fitzpatrick@opencongress.org
Sen,Carte,P.,Goodwin,,,D,WV,Junior Seat,0,M,,,,,,G000561,126202,,412389,N00032762,,http://www.opencongress.org/wiki/Carte_Goodwin,,,,I,1974-02-27,
Sen,Cory,,Gardner,,,R,CO,Junior Seat,1,M,202-224-5941,202-225-5870,https://www.gardner.senate.gov,https://www.gardner.senate.gov/contact-cory/email-cory,354 Russell Senate Office Building,G000562,30004,H0CO04122,412406,N00030780,SenCoryGardner,http://www.opencongress.org/wiki/Cory_Gardner,,SenCoryGardner,,II,1974-08-22,Sen.Gardner@opencongress.org
Rep,Tulsi,,Gabbard,,,D,HI,2,1,F,202-225-4906,202-225-4987,https://gabbard.house.gov,,1433 Longworth House Office Building,G000571,129306,H2HI02508,412532,N00033281,TulsiPress,,http://youtube.com/tulsipress,RepTulsiGabbard,,,1981-04-12,Rep.Gabbard@opencongress.org
Rep,Ruben,,Gallego,,,D,AZ,7,1,M,202-225-4065,,https://rubengallego.house.gov,,1218 Longworth House Office Building,G000574,123732,H4AZ07043,412612,N00036097,RepRubenGallego,,,RepRubenGallego,,,1979-11-20,Rep.Rubengallego@opencongress.org
Rep,Matt,,Gaetz,,,R,FL,1,1,M,202-225-4136,,https://gaetz.house.gov,,507 Cannon House Office Building,G000578,117101,H6FL01119,412690,N00039503,RepMattGaetz,,,CongressmanMattGaetz,,,1982-05-07,Rep.Gaetz@opencongress.org
Rep,Mike,,Gallagher,,,R,WI,8,1,M,202-225-5665,,https://gallagher.house.gov,,1007 Longworth House Office Building,G000579,171843,H6WI08155,412731,N00039330,RepGallagher,,,RepMikeGallagher,,,1984-03-03,Rep.Gallagher@opencongress.org
Com,Jenniffer,,González-Colón,,,R,PR,0,1,F,202-225-2615,,https://gonzalez-colon.house.gov,,1529 Longworth House Office Building,G000582,,H6PR00082,412723,N00037615,repjenniffer,,,RepJennifferGonzalezColon,,,1976-08-05,Rep.Gonzalez-colon@opencongress.org
Rep,Josh,,Gottheimer,,,D,NJ,5,1,M,202-225-4465,,https://gottheimer.house.gov,,213 Cannon House Office Building,G000583,169202,H6NJ05171,412714,N00036944,RepJoshG,,,RepJoshG,,,1975-03-08,Rep.Gottheimer@opencongress.org
Rep,Jimmy,,Gomez,,,D,CA,34,1,M,202-225-6235,,https://gomez.house.gov,,1226 Longworth House Office Building,G000585,138524,H8CA34266,412739,N00040597,RepJimmyGomez,,,RepJimmyGomez,,,1974-11-25,Rep.Gomez@opencongress.org
Rep,Duncan,D.,Hunter,,,R,CA,50,1,M,202-225-5672,202-225-0235,https://hunter.house.gov,,2429 Rayburn House Office Building,H001048,104308,H8CA52052,412283,N00029258,Rep_Hunter,http://www.opencongress.org/wiki/Duncan_Hunter,http://youtube.com/CongressmanHunter,DuncanHunter,,,1976-12-07,Rep.Hunter@opencongress.org
Rep,Jaime,,Herrera Beutler,,,R,WA,3,1,F,202-225-3536,202-225-3478,https://herrerabeutler.house.gov,,1107 Longworth House Office Building,H001056,101907,H0WA03187,412486,N00031559,HerreraBeutler,http://www.opencongress.org/wiki/Jaime_Herrera,http://youtube.com/RepHerreraBeutler,herrerabeutler,,,1978-11-03,Rep.Herrerabeutler@opencongress.org
Rep,Will,,Hurd,,,R,TX,23,1,M,202-225-4511,,https://hurd.house.gov,,317 Cannon House Office Building,H001073,116911,H0TX23086,412654,N00031417,hurdonthehill,,,HurdOnTheHill,,,1977-08-19,Rep.Hurd@opencongress.org
Rep,Trey,,Hollingsworth,,,R,IN,9,1,M,202-225-5315,,https://hollingsworth.house.gov,,1641 Longworth House Office Building,H001074,167423,H6IN09176,412703,N00038429,reptrey,,,reptrey,,,1983-09-12,Rep.Hollingsworth@opencongress.org
Rep,Adam,,Kinzinger,,,R,IL,16,1,M,202-225-3635,202-225-3521,https://kinzinger.house.gov,,2245 Rayburn House Office Building,K000378,116559,H0IL11052,412421,N00030667,RepKinzinger,http://www.opencongress.org/wiki/Adam_Kinzinger,http://youtube.com/RepAdamKinzinger,RepKinzinger,,,1978-02-27,Rep.Kinzinger@opencongress.org
Rep,Joseph,P.,Kennedy,III,,D,MA,4,1,M,202-225-5931,202-225-0182,https://kennedy.house.gov,,434 Cannon House Office Building,K000379,141275,H2MA04073,412543,N00034044,RepJoeKennedy,,,301936109927957,,,1980-10-04,Rep.Kennedy@opencongress.org
Rep,Derek,,Kilmer,,,D,WA,6,1,M,202-225-5916,,https://kilmer.house.gov,,1520 Longworth House Office Building,K000381,51516,H2WA06129,412583,N00034453,RepDerekKilmer,,,derek.kilmer,,,1974-01-01,Rep.Kilmer@opencongress.org
Rep,Ro,,Khanna,,,D,CA,17,1,M,202-225-2631,,https://khanna.house.gov,,513 Cannon House Office Building,K000389,29473,H4CA12055,412684,N00026427,RepRoKhanna,,,RepRoKhanna,,,1976-09-13,Rep.Khanna@opencongress.org
Rep,Ruben,,Kihuen,,,D,NV,4,1,M,202-225-9894,,https://kihuen.house.gov,,313 Cannon House Office Building,K000390,66851,H2NV00050,412716,N00033530,RepKihuen,,,RepKihuen,,,1980-04-25,Rep.Kihuen@opencongress.org
Rep,Raja,,Krishnamoorthi,,,D,IL,8,1,M,202-225-3711,,https://krishnamoorthi.house.gov,,515 Cannon House Office Building,K000391,117519,H6IL08147,412701,N00033240,congressmanraja,,,congressmanraja,,,1973-07-19,Rep.Krishnamoorthi@opencongress.org
Rep,Mia,,Love,,,R,UT,4,1,F,202-225-3011,202-225-5638,https://love.house.gov,,217 Cannon House Office Building,L000584,135957,H2UT04023,412656,N00033842,repmialove,,,repmialove,,,1975-12-06,Rep.Love@opencongress.org
Rep,Patrick,T.,McHenry,,,R,NC,10,1,M,202-225-2576,202-225-0316,https://mchenry.house.gov,,2334 Rayburn House Office Building,M001156,21031,H4NC10047,400644,N00026627,PatrickMcHenry,http://www.opencongress.org/wiki/Patrick_McHenry,http://youtube.com/CongressmanMcHenry,CongressmanMcHenry,,,1975-10-22,Rep.Mchenry@opencongress.org
Rep,Patrick,J.,Murphy,,,D,PA,8,0,M,,,http://patrickmurphy.house.gov,,,M001168,60031,H6PA08194,412233,N00027594,,http://www.opencongress.org/wiki/Patrick_Murphy,,,,,1973-10-19,
